file                        format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)  GC(%)
MT1_11_2_16S.1.fq.gz        FASTQ   DNA   1,068,486  152,263,311      102    142.5      143  142  143  143        0  143   97.54   94.27   50.2
MT1_11_2_16S.2.fq.gz        FASTQ   DNA   1,068,486  152,773,235      102      143      143  143  143  143        0  143   96.92   93.23  48.87
MT1_11_3_16S.1.fq.gz        FASTQ   DNA     831,114  118,259,263       96    142.3      143  142  142  143        0  142   97.64   94.34  52.64
MT1_11_3_16S.2.fq.gz        FASTQ   DNA     831,114  118,847,395       96      143      143  143  143  143        0  143   97.46   94.22  49.28
MT1_11_4_16S.1.fq.gz        FASTQ   DNA   1,170,533  166,757,423       86    142.5      143  142  142  143        0  142   97.48   94.04  51.72
MT1_11_4_16S.2.fq.gz        FASTQ   DNA   1,170,533  167,337,015       86      143      143  143  143  143        0  143   96.76   92.99  50.29
MT1_11_5_16S.1.fq.gz        FASTQ   DNA     627,883   89,539,671       86    142.6      143  142  143  143        0  143    97.4    94.1  52.03
MT1_11_5_16S.2.fq.gz        FASTQ   DNA     627,883   89,726,229       86    142.9      143  143  143  143        0  143   96.75   92.92  50.21
MT1_11_WC_16S.1.fq.gz       FASTQ   DNA       1,507      215,186      140    142.8      143  143  143  143        0  143      96   92.12  49.66
MT1_11_WC_16S.2.fq.gz       FASTQ   DNA       1,507      215,465      141      143      143  143  143  143        0  143   94.85   90.26  50.66
MT1_12_1_16S.1.fq.gz        FASTQ   DNA     939,101  134,133,314       86    142.8      143  143  143  143        0  143   97.35   93.98  50.65
MT1_12_1_16S.2.fq.gz        FASTQ   DNA     939,101  134,261,090       86      143      143  143  143  143        0  143   96.44   92.37  53.07
MT1_1_2_16S.1.fq.gz         FASTQ   DNA     724,311  103,455,180       55    142.8      143  143  143  143        0  143   96.87   93.33  51.52
MT1_1_2_16S.2.fq.gz         FASTQ   DNA     724,311  103,560,860       55      143      143  143  143  143        0  143   96.39   92.29  52.44
MT1_12_2_16S.1.fq.gz        FASTQ   DNA   1,132,503  161,754,819       86    142.8      143  143  143  143        0  143   97.45   94.08  49.97
MT1_12_2_16S.2.fq.gz        FASTQ   DNA   1,132,503  161,941,378       86      143      143  143  143  143        0  143   96.71   92.91  52.11
MT1_12_3_16S.1.fq.gz        FASTQ   DNA     870,690  124,267,909       87    142.7      143  142  143  143        0  143   97.28   93.78  49.67
MT1_12_3_16S.2.fq.gz        FASTQ   DNA     870,690  124,448,797       72    142.9      143  143  143  143        0  143   96.61   92.68  51.32
MT1_12_4_16S.1.fq.gz        FASTQ   DNA   1,030,968  147,265,370       85    142.8      143  143  143  143        0  143   97.38   93.98   50.2
MT1_12_4_16S.2.fq.gz        FASTQ   DNA   1,030,968  147,414,019       85      143      143  143  143  143        0  143    96.7   92.85  52.49
MT1_12_5_16S.1.fq.gz        FASTQ   DNA     902,837  128,873,971       86    142.7      143  143  143  143        0  143   97.39   94.01  50.35
MT1_12_5_16S.2.fq.gz        FASTQ   DNA     902,837  129,098,947       86      143      143  143  143  143        0  143   96.69   92.89  52.02
MT1_12_WC_16S.1.fq.gz       FASTQ   DNA         863      123,301      140    142.9      143  143  143  143        0  143    96.2   92.44  49.53
MT1_12_WC_16S.2.fq.gz       FASTQ   DNA         863      123,396      141      143      143  143  143  143        0  143    94.9   90.33  50.68
MT1_13_1_16S.1.fq.gz        FASTQ   DNA     855,154  122,050,296       62    142.7      143  143  143  143        0  143   97.03   93.38  50.55
MT1_13_1_16S.2.fq.gz        FASTQ   DNA     855,154  122,270,115       62      143      143  143  143  143        0  143   96.64    92.7  51.16
MT1_1_3_16S.1.fq.gz         FASTQ   DNA   1,035,951  147,925,963       64    142.8      143  143  143  143        0  143   96.97   93.53  51.43
MT1_1_3_16S.2.fq.gz         FASTQ   DNA   1,035,951  148,129,052       64      143      143  143  143  143        0  143   96.57   92.52  52.06
MT1_13_2_16S.1.fq.gz        FASTQ   DNA     279,585   39,891,566       54    142.7      143  142  143  143        0  143    96.9   93.41  50.16
MT1_13_2_16S.2.fq.gz        FASTQ   DNA     279,585   39,971,194       54      143      143  143  143  143        0  143   96.68   92.69     51
MT1_13_3_16S.1.fq.gz        FASTQ   DNA     209,701   29,931,685       55    142.7      143  142  143  143        0  143    97.4   94.08  49.97
MT1_13_3_16S.2.fq.gz        FASTQ   DNA     209,701   29,984,772       55      143      143  143  143  143        0  143   96.96   93.23  51.27
MT1_13_4_16S.1.fq.gz        FASTQ   DNA     225,643   32,230,032      139    142.8      143  143  143  143        0  143   97.34   94.03  51.38
MT1_13_4_16S.2.fq.gz        FASTQ   DNA     225,643   32,266,115      137      143      143  143  143  143        0  143   96.84   92.96   51.4
MT1_13_WC_16S.1.fq.gz       FASTQ   DNA       3,297      470,762       32    142.8      143  143  143  143        0  143    96.6   92.98  49.31
MT1_13_WC_16S.2.fq.gz       FASTQ   DNA       3,297      471,161       32    142.9      143  143  143  143        0  143   95.21   90.68  50.73
MT1_14_1_16S.1.fq.gz        FASTQ   DNA     232,504   33,193,696      137    142.8      143  143  143  143        0  143   97.49   94.28   51.9
MT1_14_1_16S.2.fq.gz        FASTQ   DNA     232,504   33,245,545      137      143      143  143  143  143        0  143   96.88   93.02  50.98
MT1_1_4_16S.1.fq.gz         FASTQ   DNA     957,426  136,663,958       54    142.7      143  143  143  143        0  143   96.86   93.27  49.28
MT1_1_4_16S.2.fq.gz         FASTQ   DNA     957,426  136,896,997       54      143      143  143  143  143        0  143   96.44   92.39  51.61
MT1_14_2_16S.1.fq.gz        FASTQ   DNA     321,914   45,970,150      128    142.8      143  143  143  143        0  143   97.32   93.97  49.15
MT1_14_2_16S.2.fq.gz        FASTQ   DNA     321,914   46,032,971      135      143      143  143  143  143        0  143   96.93   93.09  49.65
MT1_14_3_16S.1.fq.gz        FASTQ   DNA     168,421   24,041,497      136    142.7      143  143  143  143        0  143   97.35   93.99  50.74
MT1_14_3_16S.2.fq.gz        FASTQ   DNA     168,421   24,071,030      140    142.9      143  143  143  143        0  143   96.96   93.19  50.24
MT1_14_4_16S.1.fq.gz        FASTQ   DNA     356,728   50,967,241      115    142.9      143  143  143  143        0  143   97.37   93.95     51
MT1_14_4_16S.2.fq.gz        FASTQ   DNA     356,728   51,008,981      115      143      143  143  143  143        0  143   97.14   93.55  51.77
MT1_14_5_16S.1.fq.gz        FASTQ   DNA   1,116,602  159,547,843       83    142.9      143  143  143  143        0  143   97.24   93.74  51.53
MT1_14_5_16S.2.fq.gz        FASTQ   DNA   1,116,602  159,669,549       83      143      143  143  143  143        0  143   96.96   93.18  50.69
MT1_14_WC_16S.1.fq.gz       FASTQ   DNA       1,094      156,279      104    142.9      143  143  143  143        0  143   96.25   92.55  49.11
MT1_14_WC_16S.2.fq.gz       FASTQ   DNA       1,094      156,389      104      143      143  143  143  143        0  143   94.67   90.08  50.93
MT1_15_1_16S.1.fq.gz        FASTQ   DNA     809,793  115,709,802       27    142.9      143  143  143  143        0  143   97.32   94.01  49.69
MT1_15_1_16S.2.fq.gz        FASTQ   DNA     809,793  115,792,687       27      143      143  143  143  143        0  143   97.21    93.7  50.42
MT1_1_5_16S.1.fq.gz         FASTQ   DNA     818,907  116,875,209       63    142.7      143  142  143  143        0  143   96.73   93.16  50.64
MT1_1_5_16S.2.fq.gz         FASTQ   DNA     818,907  117,075,482       63      143      143  143  143  143        0  143   96.64   92.73  51.92
MT1_15_2_16S.1.fq.gz        FASTQ   DNA   1,073,695  153,370,622      125    142.8      143  143  143  143        0  143   97.48   94.18  49.32
MT1_15_2_16S.2.fq.gz        FASTQ   DNA   1,073,695  153,531,376      125      143      143  143  143  143        0  143   96.78   92.86  50.26
MT1_15_3_16S.1.fq.gz        FASTQ   DNA   1,023,228  146,135,936       27    142.8      143  143  143  143        0  143   97.28   93.89  49.41
MT1_15_3_16S.2.fq.gz        FASTQ   DNA   1,023,228  146,306,096       27      143      143  143  143  143        0  143   96.97    93.3  50.64
MT1_15_4_16S.1.fq.gz        FASTQ   DNA   1,235,518  176,481,225       92    142.8      143  143  143  143        0  143   97.17   93.75  49.42
MT1_15_4_16S.2.fq.gz        FASTQ   DNA   1,235,518  176,663,459       92      143      143  143  143  143        0  143   96.82   92.96  50.31
MT1_15_5_16S.1.fq.gz        FASTQ   DNA     936,565  133,817,696       99    142.9      143  143  143  143        0  143   97.25    93.9  50.11
MT1_15_5_16S.2.fq.gz        FASTQ   DNA     936,565  133,919,661       99      143      143  143  143  143        0  143      97   93.27  50.66
MT1_15_WC_16S.1.fq.gz       FASTQ   DNA       3,691      527,337       91    142.9      143  143  143  143        0  143   96.89   93.42  49.49
MT1_15_WC_16S.2.fq.gz       FASTQ   DNA       3,691      527,616       91    142.9      143  143  143  143        0  143   95.59   91.26  50.74
MT1_16_1_16S.1.fq.gz        FASTQ   DNA     721,018  102,985,956      104    142.8      143  143  143  143        0  143   97.46   94.18  49.14
MT1_16_1_16S.2.fq.gz        FASTQ   DNA     721,018  103,095,445      120      143      143  143  143  143        0  143   96.82   92.99  51.13
MT1_16_2_16S.1.fq.gz        FASTQ   DNA     727,395  103,843,741       72    142.8      143  143  143  143        0  143   97.57   94.33  49.14
MT1_16_2_16S.2.fq.gz        FASTQ   DNA     727,395  104,008,656      137      143      143  143  143  143        0  143   97.08   93.47  51.22
MT1_16_3_16S.1.fq.gz        FASTQ   DNA     766,239  109,450,953       37    142.8      143  143  143  143        0  143   97.25   93.74   50.2
MT1_16_3_16S.2.fq.gz        FASTQ   DNA     766,239  109,561,343       37      143      143  143  143  143        0  143   96.47    92.4  51.32
MT1_16_4_16S.1.fq.gz        FASTQ   DNA     880,433  125,677,943       38    142.7      143  142  143  143        0  143   97.02   93.33  49.39
MT1_16_4_16S.2.fq.gz        FASTQ   DNA     880,433  125,893,768       38      143      143  143  143  143        0  143   96.41   92.17  50.73
MT1_16_5_16S.1.fq.gz        FASTQ   DNA     897,308  128,162,371       64    142.8      143  143  143  143        0  143   97.24   93.78  50.96
MT1_16_5_16S.2.fq.gz        FASTQ   DNA     897,308  128,306,659       64      143      143  143  143  143        0  143   96.32   92.03  50.99
MT1_16_WC_16S.1.fq.gz       FASTQ   DNA       3,033      433,386      139    142.9      143  143  143  143        0  143   96.73   93.18   49.3
MT1_16_WC_16S.2.fq.gz       FASTQ   DNA       3,033      432,484      138    142.6      143  143  143  143        0  143   78.03   67.05  49.26
MT1_17_1_16S.1.fq.gz        FASTQ   DNA   1,464,345  209,156,181       76    142.8      143  143  143  143        0  143   96.85   93.22  48.99
MT1_17_1_16S.2.fq.gz        FASTQ   DNA   1,464,345  209,350,310       76      143      143  143  143  143        0  143   96.46   92.45  51.84
MT1_17_2_16S.1.fq.gz        FASTQ   DNA   1,186,515  169,484,244       83    142.8      143  143  143  143        0  143   96.64   92.86  49.81
MT1_17_2_16S.2.fq.gz        FASTQ   DNA   1,186,515  169,444,407       83    142.8      143  143  143  143        0  143   96.05   91.88  52.31
MT1_17_3_16S.1.fq.gz        FASTQ   DNA   1,047,358  149,655,775       68    142.9      143  143  143  143        0  143   96.83   93.19  49.22
MT1_17_3_16S.2.fq.gz        FASTQ   DNA   1,047,358  149,754,210       72      143      143  143  143  143        0  143   96.48   92.49  51.82
MT1_17_4_16S.1.fq.gz        FASTQ   DNA   1,358,928  194,150,321       91    142.9      143  143  143  143        0  143   96.81   93.15   50.3
MT1_17_4_16S.2.fq.gz        FASTQ   DNA   1,358,928  194,313,973       91      143      143  143  143  143        0  143   96.11   91.84  51.59
MT1_17_5_16S.1.fq.gz        FASTQ   DNA     140,936   20,121,958      114    142.8      143  143  143  143        0  143   97.07   93.62  49.71
MT1_17_5_16S.2.fq.gz        FASTQ   DNA     140,936   20,147,814      114      143      143  143  143  143        0  143   97.26   93.73  51.88
MT1_17_WC_16S.1.fq.gz       FASTQ   DNA       2,633      376,206      109    142.9      143  143  143  143        0  143   96.29   92.67  49.18
MT1_17_WC_16S.2.fq.gz       FASTQ   DNA       2,633      376,470      141      143      143  143  143  143        0  143   95.05   90.46  50.68
MT1_18_1_16S.1.fq.gz        FASTQ   DNA     416,934   59,512,886      102    142.7      143  143  143  143        0  143   97.05   93.55   49.8
MT1_18_1_16S.2.fq.gz        FASTQ   DNA     416,934   59,598,283      102    142.9      143  143  143  143        0  143   96.79   92.89  51.28
MT1_18_2_16S.1.fq.gz        FASTQ   DNA     188,167   26,876,329       91    142.8      143  143  143  143        0  143   96.77   93.04  50.02
MT1_18_2_16S.2.fq.gz        FASTQ   DNA     188,167   26,899,942       91      143      143  143  143  143        0  143   97.14   93.47  52.06
MT1_18_3_16S.1.fq.gz        FASTQ   DNA     352,517   50,386,057       32    142.9      143  143  143  143        0  143   97.02   93.64  49.66
MT1_18_3_16S.2.fq.gz        FASTQ   DNA     352,517   50,402,705       32      143      143  143  143  143        0  143   96.87   92.99  51.85
MT1_18_4_16S.1.fq.gz        FASTQ   DNA     306,568   43,774,886      115    142.8      143  143  143  143        0  143   97.21   93.84   49.7
MT1_18_4_16S.2.fq.gz        FASTQ   DNA     306,568   43,834,102      115      143      143  143  143  143        0  143   71.65    58.3  49.12
MT1_18_5_16S.1.fq.gz        FASTQ   DNA     414,521   59,194,962      108    142.8      143  143  143  143        0  143   97.44   94.08  50.37
MT1_18_5_16S.2.fq.gz        FASTQ   DNA     414,521   59,269,424      108      143      143  143  143  143        0  143   97.12   93.44   52.6
MT1_18_WC_16S.1.fq.gz       FASTQ   DNA       1,643      234,777      139    142.9      143  143  143  143        0  143   96.38   92.88  49.19
MT1_18_WC_16S.2.fq.gz       FASTQ   DNA       1,643      234,923      141      143      143  143  143  143        0  143   95.02   90.53  50.53
MT1_19_1_16S.1.fq.gz        FASTQ   DNA     211,070   30,173,187       72      143      143  143  143  143        0  143   97.51   94.35  51.35
MT1_19_1_16S.2.fq.gz        FASTQ   DNA     211,070   30,181,599       72      143      143  143  143  143        0  143   97.04   93.08  48.97
MT1_19_2_16S.1.fq.gz        FASTQ   DNA     650,348   92,971,935       75      143      143  143  143  143        0  143   97.46   94.24   51.6
MT1_19_2_16S.2.fq.gz        FASTQ   DNA     650,348   92,996,367       75      143      143  143  143  143        0  143   96.72   92.74  50.04
MT1_19_3_16S.1.fq.gz        FASTQ   DNA     186,714   26,685,306       60    142.9      143  143  143  143        0  143   97.01   93.47  50.41
MT1_19_3_16S.2.fq.gz        FASTQ   DNA     186,714   26,698,934      139      143      143  143  143  143        0  143   96.35   92.22  49.56
MT1_19_4_16S.1.fq.gz        FASTQ   DNA     606,185   86,598,086       35    142.9      143  143  143  143        0  143   97.14    93.7   51.1
MT1_19_4_16S.2.fq.gz        FASTQ   DNA     606,185   86,679,434       35      143      143  143  143  143        0  143   96.24   91.95  50.14
MT1_19_5_16S.1.fq.gz        FASTQ   DNA     176,839   25,271,579       92    142.9      143  143  143  143        0  143   96.94   93.32  50.52
MT1_19_5_16S.2.fq.gz        FASTQ   DNA     176,839   25,285,219       92      143      143  143  143  143        0  143   96.43   92.35   50.1
MT1_19_WC_16S.1.fq.gz       FASTQ   DNA       4,748      678,352       75    142.9      143  143  143  143        0  143    96.5   92.96  49.38
MT1_19_WC_16S.2.fq.gz       FASTQ   DNA       4,748      678,832       75      143      143  143  143  143        0  143   95.23   90.78  50.55
MT1_1_WC_16S.1.fq.gz        FASTQ   DNA       2,547      363,889      138    142.9      143  143  143  143        0  143   96.03   92.02  48.75
MT1_1_WC_16S.2.fq.gz        FASTQ   DNA       2,547      364,191      141      143      143  143  143  143        0  143    95.4   91.18  50.87
MT1_20_1_16S.1.fq.gz        FASTQ   DNA     722,047  103,125,937      116    142.8      143  143  143  143        0  143   97.31   93.92  50.08
MT1_20_1_16S.2.fq.gz        FASTQ   DNA     722,047  103,225,732      116      143      143  143  143  143        0  143   96.47    92.4  51.89
MT1_20_2_16S.1.fq.gz        FASTQ   DNA     383,614   54,737,567       72    142.7      143  142  143  143        0  143   97.01   93.38  49.14
MT1_20_2_16S.2.fq.gz        FASTQ   DNA     383,614   54,834,142      119    142.9      143  143  143  143        0  143   71.11   57.57  47.99
MT1_20_3_16S.1.fq.gz        FASTQ   DNA     583,680   83,309,496       74    142.7      143  142  143  143        0  143      97   93.38   49.9
MT1_20_3_16S.2.fq.gz        FASTQ   DNA     583,680   83,444,812       74      143      143  143  143  143        0  143   96.64   92.63  51.43
MT1_20_4_16S.1.fq.gz        FASTQ   DNA     432,697   61,760,375       72    142.7      143  142  143  143        0  143   97.06   93.49   49.7
MT1_20_4_16S.2.fq.gz        FASTQ   DNA     432,697   61,867,448       95      143      143  143  143  143        0  143   96.62   92.63  50.88
MT1_20_5_16S.1.fq.gz        FASTQ   DNA     635,320   90,781,304       70    142.9      143  143  143  143        0  143   97.15   93.69  49.85
MT1_20_5_16S.2.fq.gz        FASTQ   DNA     635,320   90,848,251       70      143      143  143  143  143        0  143   96.47   92.43   51.7
MT1_20_WC_16S.1.fq.gz       FASTQ   DNA         537       76,737      138    142.9      143  143  143  143        0  143   95.12   91.12   49.1
MT1_20_WC_16S.2.fq.gz       FASTQ   DNA         537       76,771      141      143      143  143  143  143        0  143   93.87   89.21  49.93
MT1_21_1_16S.1.fq.gz        FASTQ   DNA     194,558   27,730,876      107    142.5      143  142  143  143        0  143   97.53   94.22  50.37
MT1_21_1_16S.2.fq.gz        FASTQ   DNA     194,558   27,820,460      107      143      143  143  143  143        0  143   97.35   93.81  51.29
MT1_2_1_16S.1.fq.gz         FASTQ   DNA     987,014  140,929,787       27    142.8      143  143  143  143        0  143   97.31   93.95  50.62
MT1_2_1_16S.2.fq.gz         FASTQ   DNA     987,014  141,070,396       27    142.9      143  143  143  143        0  143   96.57   92.68  51.91
MT1_21_2_16S.1.fq.gz        FASTQ   DNA     781,207  111,392,222       72    142.6      143  142  143  143        0  143   97.49    94.2  50.68
MT1_21_2_16S.2.fq.gz        FASTQ   DNA     781,207  111,694,230       72      143      143  143  143  143        0  143   96.72   92.74  52.25
MT1_21_3_16S.1.fq.gz        FASTQ   DNA     348,358   49,707,720      125    142.7      143  142  143  143        0  143   97.42   94.11  51.36
MT1_21_3_16S.2.fq.gz        FASTQ   DNA     348,358   49,811,904      141      143      143  143  143  143        0  143   96.93   93.12  52.46
MT1_21_4_16S.1.fq.gz        FASTQ   DNA     732,090  104,473,614      108    142.7      143  142  143  143        0  143   97.28   93.75   50.4
MT1_21_4_16S.2.fq.gz        FASTQ   DNA     732,090  104,651,239      108    142.9      143  143  143  143        0  143   97.09   93.28   50.8
MT1_21_5_16S.1.fq.gz        FASTQ   DNA     363,765   51,962,022       71    142.8      143  143  143  143        0  143   97.59   94.33  50.24
MT1_21_5_16S.2.fq.gz        FASTQ   DNA     363,765   52,013,969      140      143      143  143  143  143        0  143   71.69   58.27  49.42
MT1_21_WC_16S.1.fq.gz       FASTQ   DNA     437,633   62,531,563       38    142.9      143  143  143  143        0  143   97.63   94.16  50.37
MT1_21_WC_16S.2.fq.gz       FASTQ   DNA     437,633   62,579,161       38      143      143  143  143  143        0  143   97.03   93.12  51.05
MT1_22_1_16S.1.fq.gz        FASTQ   DNA     382,242   54,635,151      118    142.9      143  143  143  143        0  143   97.79   94.77  49.72
MT1_22_1_16S.2.fq.gz        FASTQ   DNA     382,242   54,656,524      108      143      143  143  143  143        0  143   97.24    93.7  51.48
MT1_2_2_16S.1.fq.gz         FASTQ   DNA     928,989  132,577,320       27    142.7      143  142  143  143        0  143   97.17   93.67  49.95
MT1_2_2_16S.2.fq.gz         FASTQ   DNA     928,989  132,773,209       27    142.9      143  143  143  143        0  143   96.74   92.89  51.17
MT1_22_2_16S.1.fq.gz        FASTQ   DNA     269,895   38,568,636      138    142.9      143  143  143  143        0  143   97.78   94.78  49.69
MT1_22_2_16S.2.fq.gz        FASTQ   DNA     269,895   38,590,970      138      143      143  143  143  143        0  143   97.15   93.53  51.67
MT1_22_3_16S.1.fq.gz        FASTQ   DNA     825,874  118,010,793       91    142.9      143  143  143  143        0  143   97.51   94.36  50.42
MT1_22_3_16S.2.fq.gz        FASTQ   DNA     825,874  118,090,628       91      143      143  143  143  143        0  143   97.13   93.53  51.88
MT1_22_4_16S.1.fq.gz        FASTQ   DNA     222,839   31,808,007       73    142.7      143  142  143  143        0  143   97.45   94.06  49.56
MT1_22_4_16S.2.fq.gz        FASTQ   DNA     222,839   31,861,422       73      143      143  143  143  143        0  143   97.14   93.57   51.2
MT1_22_5_16S.1.fq.gz        FASTQ   DNA     485,958   69,434,949       67    142.9      143  143  143  143        0  143   97.54   94.23  49.18
MT1_22_5_16S.2.fq.gz        FASTQ   DNA     485,958   69,480,743       67      143      143  143  143  143        0  143   96.86   93.03  51.28
MT1_22_WC_16S.1.fq.gz       FASTQ   DNA     235,439   33,667,315      115      143      143  143  143  143        0  143   96.76   92.95  46.34
MT1_22_WC_16S.2.fq.gz       FASTQ   DNA     235,439   33,667,406      115      143      143  143  143  143        0  143   98.49   96.18  51.07
MT1_23_1_16S.1.fq.gz        FASTQ   DNA     304,452   43,478,972      118    142.8      143  143  143  143        0  143   97.46   94.04  48.27
MT1_23_1_16S.2.fq.gz        FASTQ   DNA     304,452   43,535,657      118      143      143  143  143  143        0  143   96.67    92.6  52.07
MT1_2_3_16S.1.fq.gz         FASTQ   DNA     973,942  139,100,939       63    142.8      143  143  143  143        0  143   97.31    93.9  50.74
MT1_2_3_16S.2.fq.gz         FASTQ   DNA     973,942  139,202,262       63    142.9      143  143  143  143        0  143   96.38   92.26  51.42
MT1_23_2_16S.1.fq.gz        FASTQ   DNA     702,147  100,257,419       72    142.8      143  143  143  143        0  143   97.56   94.27  49.79
MT1_23_2_16S.2.fq.gz        FASTQ   DNA     702,147  100,396,983       72      143      143  143  143  143        0  143   96.75   92.77  52.89
MT1_23_3_16S.1.fq.gz        FASTQ   DNA     312,604   44,578,632      134    142.6      143  142  143  143        0  143    97.2    93.7  49.04
MT1_23_3_16S.2.fq.gz        FASTQ   DNA     312,604   44,696,267      134      143      143  143  143  143        0  143   71.72   58.19  49.53
MT1_23_4_16S.1.fq.gz        FASTQ   DNA     684,793   97,723,759       72    142.7      143  142  143  143        0  143   97.12   93.43   49.2
MT1_23_4_16S.2.fq.gz        FASTQ   DNA     684,793   97,920,772       72      143      143  143  143  143        0  143   96.93   93.02  51.36
MT1_23_5_16S.1.fq.gz        FASTQ   DNA     473,770   67,603,374      112    142.7      143  142  143  143        0  143   97.37   93.99  49.42
MT1_23_5_16S.2.fq.gz        FASTQ   DNA     473,770   67,745,999      112      143      143  143  143  143        0  143   96.89   92.97  52.79
MT1_23_WC_16S.1.fq.gz       FASTQ   DNA       1,854      264,778       63    142.8      143  143  143  143        0  143   95.93   92.08  49.34
MT1_23_WC_16S.2.fq.gz       FASTQ   DNA       1,854      264,940       63    142.9      143  143  143  143        0  143   94.52   89.63  50.32
MT1_24_1_16S.1.fq.gz        FASTQ   DNA   1,081,475  154,427,926       72    142.8      143  143  143  143        0  143   97.33   93.95  50.37
MT1_24_1_16S.2.fq.gz        FASTQ   DNA   1,081,475  154,642,460       73      143      143  143  143  143        0  143   96.89   93.07  51.53
MT1_2_4_16S.1.fq.gz         FASTQ   DNA     887,203  126,709,729       27    142.8      143  143  143  143        0  143   97.18   93.77   50.5
MT1_2_4_16S.2.fq.gz         FASTQ   DNA     887,203  126,810,568       27    142.9      143  143  143  143        0  143   96.64   92.79  51.42
MT1_24_2_16S.1.fq.gz        FASTQ   DNA     308,313   44,063,536      106    142.9      143  143  143  143        0  143   97.21    93.7  49.56
MT1_24_2_16S.2.fq.gz        FASTQ   DNA     308,313   44,086,497      106      143      143  143  143  143        0  143   97.01   93.34  51.09
MT1_24_3_16S.1.fq.gz        FASTQ   DNA     690,005   98,435,531       64    142.7      143  142  143  143        0  143   97.31   93.87  49.14
MT1_24_3_16S.2.fq.gz        FASTQ   DNA     690,005   98,664,813       64      143      143  143  143  143        0  143   96.69   92.79  50.12
MT1_24_4_16S.1.fq.gz        FASTQ   DNA     269,731   38,521,805      108    142.8      143  143  143  143        0  143   96.98   93.47  49.44
MT1_24_4_16S.2.fq.gz        FASTQ   DNA     269,731   38,569,673      108      143      143  143  143  143        0  143   96.53   92.49  51.72
MT1_24_5_16S.1.fq.gz        FASTQ   DNA   1,048,644  149,824,747      137    142.9      143  143  143  143        0  143   97.29   93.91  49.98
MT1_24_5_16S.2.fq.gz        FASTQ   DNA   1,048,644  149,944,728      140      143      143  143  143  143        0  143   96.73   92.89  51.73
MT1_24_WC_16S.1.fq.gz       FASTQ   DNA       1,541      220,166      140    142.9      143  143  143  143        0  143    96.5    92.9  49.23
MT1_24_WC_16S.2.fq.gz       FASTQ   DNA       1,541      219,853      140    142.7      143  143  143  143        0  143   79.51    69.1  49.51
MT1_2_5_16S.1.fq.gz         FASTQ   DNA     789,125  112,635,774       52    142.7      143  142  143  143        0  143   97.28    93.9  50.13
MT1_2_5_16S.2.fq.gz         FASTQ   DNA     789,125  112,802,272       53    142.9      143  143  143  143        0  143   96.46   92.41   51.5
MT1_2_WC_16S.1.fq.gz        FASTQ   DNA       1,563      222,947       70    142.6      143  143  143  143        0  143   95.67    91.7     49
MT1_2_WC_16S.2.fq.gz        FASTQ   DNA       1,563      223,125       70    142.8      143  143  143  143        0  143   95.09   90.77   50.8
